cik,coname,form,file_date,file_name,hlink,rdate,secadate,secatime,accession,type,document,file_size,sequence,description
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",SC 13G/A,2020-02-10,edgar/data/1000097/0000919574-20-000879.txt,https://www.sec.gov/Archives/edgar/data/1000097/000091957420000879/0000919574-20-000879-index.html,NA,2020-02-10,17:12:38,0000919574-20-000879,,0000919574-20-000879.txt,100050.0,,Complete submission text file
1000152,"WESTERN INTERNATIONAL SECURITIES, INC.",FOCUSN,2020-03-20,edgar/data/1000152/9999999997-20-003463.txt,https://www.sec.gov/Archives/edgar/data/1000152/999999999720003463/9999999997-20-003463-index.html,2019-12-31,2020-06-05,16:53:26,9999999997-20-003463,FOCUSN,9999999997-20-003463.paper,293.0,1.0,AUTO-GENERATED PAPER DOCUMENT
1000152,"WESTERN INTERNATIONAL SECURITIES, INC.",FOCUSN,2020-03-20,edgar/data/1000152/9999999997-20-003463.txt,https://www.sec.gov/Archives/edgar/data/1000152/999999999720003463/9999999997-20-003463-index.html,2019-12-31,2020-06-05,16:53:26,9999999997-20-003463,,9999999997-20-003463.txt,1423.0,,Complete submission text file
1000152,"WESTERN INTERNATIONAL SECURITIES, INC.",X-17A-5,2020-03-20,edgar/data/1000152/9999999997-20-003390.txt,https://www.sec.gov/Archives/edgar/data/1000152/999999999720003390/9999999997-20-003390-index.html,2019-12-31,2020-06-04,09:23:13,9999999997-20-003390,X-17A-5,9999999997-20-003390.paper,294.0,1.0,AUTO-GENERATED PAPER DOCUMENT
1000152,"WESTERN INTERNATIONAL SECURITIES, INC.",X-17A-5,2020-03-20,edgar/data/1000152/9999999997-20-003390.txt,https://www.sec.gov/Archives/edgar/data/1000152/999999999720003390/9999999997-20-003390-index.html,2019-12-31,2020-06-04,09:23:13,9999999997-20-003390,,scanned.pdf,882776.0,,Scanned paper document
1000152,"WESTERN INTERNATIONAL SECURITIES, INC.",X-17A-5,2020-03-20,edgar/data/1000152/9999999997-20-003390.txt,https://www.sec.gov/Archives/edgar/data/1000152/999999999720003390/9999999997-20-003390-index.html,2019-12-31,2020-06-04,09:23:13,9999999997-20-003390,,9999999997-20-003390.txt,1460.0,,Complete submission text file
1000177,NORDIC AMERICAN TANKERS Ltd,6-K,2020-02-25,edgar/data/1000177/0000919574-20-001950.txt,https://www.sec.gov/Archives/edgar/data/1000177/000091957420001950/0000919574-20-001950-index.html,2020-02-29,2020-02-25,16:06:44,0000919574-20-001950,6-K,d8481686_6-k.htm,282032.0,1.0,
1000177,NORDIC AMERICAN TANKERS Ltd,6-K,2020-02-25,edgar/data/1000177/0000919574-20-001950.txt,https://www.sec.gov/Archives/edgar/data/1000177/000091957420001950/0000919574-20-001950-index.html,2020-02-29,2020-02-25,16:06:44,0000919574-20-001950,GRAPHIC,image0.jpg,5386.0,2.0,
1000177,NORDIC AMERICAN TANKERS Ltd,6-K,2020-02-25,edgar/data/1000177/0000919574-20-001950.txt,https://www.sec.gov/Archives/edgar/data/1000177/000091957420001950/0000919574-20-001950-index.html,2020-02-29,2020-02-25,16:06:44,0000919574-20-001950,,0000919574-20-001950.txt,290670.0,,Complete submission text file
1000177,NORDIC AMERICAN TANKERS Ltd,SC 13G,2020-02-07,edgar/data/1000177/0000834237-20-008215.txt,https://www.sec.gov/Archives/edgar/data/1000177/000083423720008215/0000834237-20-008215-index.html,NA,2020-02-07,08:45:52,0000834237-20-008215,SC 13G,bmg657731060_020620.txt,11459.0,1.0,
